age,gender,income_annual,occupation,education,category,state,is_farmer,has_disability,land_holding_acres,has_bpl_card,family_size
0.6229508196721312,0,0.2822390425673452,3,2,0,5,0,0,0.009,1,0.125
0.836065573770492,1,0.9357091068107958,3,0,3,2,0,0,0.05500000000000001,0,0.0
0.459016393442623,0,0.18633075940110955,4,2,1,7,0,0,0.034999999999999996,0,1.0
0.2295081967213115,0,0.41163147836257064,0,4,0,2,0,0,0.003,0,0.5
0.6885245901639345,1,0.5790151125265961,1,4,0,6,1,0,0.505,0,1.0
0.11475409836065575,0,0.9577915682147045,1,0,2,2,1,0,0.75,0,0.875
0.9836065573770493,1,0.3590547786545488,3,4,2,5,0,0,0.025,0,0.75
0.3278688524590164,0,0.5531692163619167,1,0,0,4,1,0,0.514,0,0.625
0.6229508196721312,0,0.9388764151556374,2,0,1,9,0,0,0.037,0,0.375
0.9344262295081968,0,0.7014572093651665,1,2,2,2,1,0,0.07900000000000001,0,0.75
0.29508196721311475,0,0.9313619219610701,3,3,2,3,0,0,0.057999999999999996,0,0.75
0.3606557377049181,0,0.7240780409924575,1,0,2,3,1,0,0.537,1,0.0
0.1639344262295082,1,0.5925898804962494,1,4,1,0,1,0,0.367,0,1.0
0.1639344262295082,0,0.8670864991805839,2,4,3,8,1,0,0.8160000000000001,0,0.375
0.37704918032786894,1,0.8929282699029386,3,3,1,1,0,0,0.082,1,0.75
0.8524590163934428,1,0.0720095957788474,4,0,0,0,0,0,0.07800000000000001,0,1.0
0.5737704918032788,1,0.5391354929336329,0,2,2,3,0,0,0.097,0,0.125
0.639344262295082,1,0.6566641879634031,3,3,1,6,0,0,0.009,0,0.875
0.37704918032786894,0,0.6842695852795966,1,4,2,11,1,0,0.8390000000000001,0,0.375
0.032786885245901676,1,0.2623564732831198,0,3,0,5,0,0,0.049,0,0.375
0.34426229508196726,0,0.32904527982359605,0,2,2,8,0,0,0.067,1,0.25
0.8524590163934428,1,0.10630542918523543,0,4,0,9,0,0,0.098,0,0.375
0.016393442622950838,1,0.5563757164088436,1,3,1,11,1,0,0.08800000000000001,0,1.0
0.37704918032786894,0,0.9893646096867448,4,3,0,0,0,0,0.06899999999999999,0,0.0
0.7049180327868853,1,0.592914759079325,1,4,1,4,1,0,0.7440000000000001,0,1.0
0.47540983606557385,1,0.7893590403396064,2,1,2,8,0,0,0.03,0,1.0
0.6065573770491803,0,0.17015799412743285,0,4,1,0,1,0,0.16100000000000003,0,0.0
0.016393442622950838,1,0.27074762297170046,1,2,0,3,1,0,0.532,0,1.0
